Year,Time Dimension,Space Dimension,Narrative Intents,Clustering and Taxonomy,User Interaction Types,Positive Experience Types,Negative Load Types,Software-Driven Techniques,Hardware-Assisted Techniques,Contextual Applications,Domain-Specific Applications
2010,24,26,17,17,13,21,13,10,2,10,11
2011,9,10,6,3,5,7,3,3,1,4,3
2012,15,14,9,11,10,10,10,6,3,7,8
2013,33,38,29,11,19,25,16,11,4,20,17
2014,19,19,14,6,9,11,10,6,4,8,8
2015,3,6,5,4,2,4,3,1,0,4,5
2016,29,28,23,15,16,24,13,11,1,19,15
2017,9,8,5,4,7,6,4,3,0,5,4
2018,22,25,18,11,12,16,12,5,6,11,9
2019,25,24,19,10,11,18,12,10,5,11,10
2020,55,62,49,39,28,57,30,23,4,35,35
2021,34,40,34,19,18,30,15,12,2,23,21
2022,31,35,24,17,14,21,8,9,1,17,15
2023,44,45,38,26,19,34,21,18,11,29,24
2024,45,48,33,24,21,30,28,20,9,24,22
