Category,Slope,Intercept
Static Single Frame,0.13214285714285712,-264.1321428571428
Static Multi Frame,0.23928571428571424,-479.172619047619
Animated Linear,0.35357142857142854,-707.2202380952381
Animated Non Linear,0.49642857142857133,-994.8297619047617
Animated Real Time,0.23214285714285712,-466.6988095238095
Hybrid Time,0.6392857142857141,-1282.7726190476187
Static Single View,0.12857142857142856,-256.5952380952381
Static Multi View,0.11428571428571427,-226.78095238095236
Animated Localized,0.6571428571428571,-1319.0571428571427
Animated Global,0.5214285714285715,-1044.9880952380952
Animated Path,0.26428571428571423,-530.0642857142856
Hybrid Space,0.5964285714285713,-1197.063095238095
Emphasizing Actions,0.6892857142857142,-1382.2226190476188
Explaining Concepts,0.6749999999999998,-1352.4749999999997
Conveying Emotions,0.1857142857142857,-372.0523809523809
Creating Atmosphere,0.33214285714285713,-667.9988095238095
Stepwise Cluster Formation,0.2535714285714286,-509.3869047619049
Spatial Cluster Boundary,0.2678571428571428,-537.2011904761903
Force Directed Cluster,-0.05357142857142858,109.12023809523811
Incremental Classification Boundary,0.19285714285714284,-387.7261904761904
Tree Expansion,0.11428571428571427,-228.11428571428567
Progressive Manifold Projection,0.075,-150.80833333333334
Hybrid Cluster,0.4214285714285714,-845.8880952380952
Non Interactive,0.43571428571428567,-873.3690476190475
Semi Interactive,0.15357142857142855,-306.220238095238
Fully Interactive,0.22142857142857142,-442.02142857142854
Emotional Experience,0.22857142857142854,-457.82857142857137
Cognitive Optimization,0.7107142857142856,-1425.0440476190474
Immersive Experience,0.2821428571428571,-566.5488095238094
Inspiring Experience,0.4142857142857142,-828.8809523809522
Information Overload,0.4107142857142857,-823.7440476190476
Visual Fatigue,0.2642857142857143,-529.2642857142857
Interaction Confusion,0.2071428571428571,-414.2738095238094
Emotional Burden,0.10357142857142858,-207.70357142857145
Rule Based ,0.575,-1152.0416666666665
ML or AI Generative,0.2107142857142857,-424.0773809523809
Real Time,0.07857142857142854,-157.27857142857138
Virtual Reality (VR),0.09285714285714285,-186.69285714285712
Augmented Reality (AR),0.09999999999999999,-201.36666666666665
Eye Tracking,0.042857142857142864,-85.7761904761905
Motion Sensing Devices,0.014285714285714289,-28.547619047619055
Multi Modal Interaction,0.12857142857142853,-257.6619047619047
Education,0.6607142857142856,-1323.9273809523806
Journalism,0.5285714285714285,-1061.8619047619045
Social Advocacy,0.22857142857142854,-458.895238095238
Business,0.2214285714285714,-444.2880952380952
Healthcare,0.05357142857142856,-107.45357142857141
Environmental Science,0.2928571428571428,-588.7595238095238
Academic Research,0.6428571428571428,-1287.7095238095237
